misra1,misra2,Poetry
ہر ذرہ چمکتا ہے انوار الٰہی سے ,ہر سانس یہ کہتی ہے ہم ہیں تو خدا بھی ہے ,ہر ذرہ چمکتا ہے انوار الٰہی سے  ہر سانس یہ کہتی ہے ہم ہیں تو خدا بھی ہے 
سورج میں لگے دھبا فطرت کے کرشمے ہیں ,بت ہم کو کہیں کافر اللہ کی مرضی ہے ,سورج میں لگے دھبا فطرت کے کرشمے ہیں  بت ہم کو کہیں کافر اللہ کی مرضی ہے 
تعلیم کا شور ایسا تہذیب کا غل اتنا ,برکت جو نہیں ہوتی نیت کی خرابی ہے ,تعلیم کا شور ایسا تہذیب کا غل اتنا  برکت جو نہیں ہوتی نیت کی خرابی ہے 
سچ کہتے ہیں شیخ اکبرؔ ہے طاعت حق لازم ,ہاں ترک مے و شاہد یہ ان کی بزرگی ہے ,سچ کہتے ہیں شیخ اکبرؔ ہے طاعت حق لازم  ہاں ترک مے و شاہد یہ ان کی بزرگی ہے 
دنیا میں ہوں دنیا کا طلب گار نہیں ہوں ,بازار سے گزرا ہوں خریدار نہیں ہوں ,دنیا میں ہوں دنیا کا طلب گار نہیں ہوں  بازار سے گزرا ہوں خریدار نہیں ہوں 
زندہ ہوں مگر زیست کی لذت نہیں باقی ,ہر چند کہ ہوں ہوش میں ہشیار نہیں ہوں ,زندہ ہوں مگر زیست کی لذت نہیں باقی  ہر چند کہ ہوں ہوش میں ہشیار نہیں ہوں 
اس خانۂ ہستی سے گزر جاؤں گا بے لوث ,سایہ ہوں فقط نقش بہ دیوار نہیں ہوں ,اس خانۂ ہستی سے گزر جاؤں گا بے لوث  سایہ ہوں فقط نقش بہ دیوار نہیں ہوں 
افسردہ ہوں عبرت سے دوا کی نہیں حاجت ,غم کا مجھے یہ ضعف ہے بیمار نہیں ہوں ,افسردہ ہوں عبرت سے دوا کی نہیں حاجت  غم کا مجھے یہ ضعف ہے بیمار نہیں ہوں 
وہ گل ہوں خزاں نے جسے برباد کیا ہے ,الجھوں کسی دامن سے میں وہ خار نہیں ہوں ,وہ گل ہوں خزاں نے جسے برباد کیا ہے  الجھوں کسی دامن سے میں وہ خار نہیں ہوں 
یا رب مجھے محفوظ رکھ اس بت کے ستم سے ,میں اس کی عنایت کا طلب گار نہیں ہوں ,یا رب مجھے محفوظ رکھ اس بت کے ستم سے  میں اس کی عنایت کا طلب گار نہیں ہوں 
گو دعوی تقوی نہیں درگاہ خدا میں ,بت جس سے ہوں خوش ایسا گنہ گار نہیں ہوں ,گو دعوی تقوی نہیں درگاہ خدا میں  بت جس سے ہوں خوش ایسا گنہ گار نہیں ہوں 
افسردگی و ضعف کی کچھ حد نہیں اکبرؔ ,کافر کے مقابل میں بھی دیں دار نہیں ہوں ,افسردگی و ضعف کی کچھ حد نہیں اکبرؔ  کافر کے مقابل میں بھی دیں دار نہیں ہوں 
غمزہ نہیں ہوتا کہ اشارا نہیں ہوتا ,آنکھ ان سے جو ملتی ہے تو کیا کیا نہیں ہوتا ,غمزہ نہیں ہوتا کہ اشارا نہیں ہوتا  آنکھ ان سے جو ملتی ہے تو کیا کیا نہیں ہوتا 
جلوہ نہ ہو معنی کا تو صورت کا اثر کیا ,بلبل گل تصویر کا شیدا نہیں ہوتا ,جلوہ نہ ہو معنی کا تو صورت کا اثر کیا  بلبل گل تصویر کا شیدا نہیں ہوتا 
اللہ بچائے مرض عشق سے دل کو ,سنتے ہیں کہ یہ عارضہ اچھا نہیں ہوتا ,اللہ بچائے مرض عشق سے دل کو  سنتے ہیں کہ یہ عارضہ اچھا نہیں ہوتا 
تشبیہ ترے چہرے کو کیا دوں گل تر سے ,ہوتا ہے شگفتہ مگر اتنا نہیں ہوتا ,تشبیہ ترے چہرے کو کیا دوں گل تر سے  ہوتا ہے شگفتہ مگر اتنا نہیں ہوتا 
میں نزع میں ہوں آئیں تو احسان ہے ان کا ,لیکن یہ سمجھ لیں کہ تماشا نہیں ہوتا ,میں نزع میں ہوں آئیں تو احسان ہے ان کا  لیکن یہ سمجھ لیں کہ تماشا نہیں ہوتا 
ہم آہ بھی کرتے ہیں تو ہو جاتے ہیں بدنام ,وہ قتل بھی کرتے ہیں تو چرچا نہیں ہوتا ,ہم آہ بھی کرتے ہیں تو ہو جاتے ہیں بدنام  وہ قتل بھی کرتے ہیں تو چرچا نہیں ہوتا 
آنکھیں مجھے تلووں سے وہ ملنے نہیں دیتے ,ارمان مرے دل کے نکلنے نہیں دیتے ,آنکھیں مجھے تلووں سے وہ ملنے نہیں دیتے  ارمان مرے دل کے نکلنے نہیں دیتے 
خاطر سے تری یاد کو ٹلنے نہیں دیتے ,سچ ہے کہ ہمیں دل کو سنبھلنے نہیں دیتے ,خاطر سے تری یاد کو ٹلنے نہیں دیتے  سچ ہے کہ ہمیں دل کو سنبھلنے نہیں دیتے 
کس ناز سے کہتے ہیں وہ جھنجھلا کے شب وصل ,تم تو ہمیں کروٹ بھی بدلنے نہیں دیتے ,کس ناز سے کہتے ہیں وہ جھنجھلا کے شب وصل  تم تو ہمیں کروٹ بھی بدلنے نہیں دیتے 
پروانوں نے فانوس کو دیکھا تو یہ بولے ,کیوں ہم کو جلاتے ہو کہ جلنے نہیں دیتے ,پروانوں نے فانوس کو دیکھا تو یہ بولے  کیوں ہم کو جلاتے ہو کہ جلنے نہیں دیتے 
حیران ہوں کس طرح کروں عرض تمنا ,دشمن کو تو پہلو سے وہ ٹلنے نہیں دیتے ,حیران ہوں کس طرح کروں عرض تمنا  دشمن کو تو پہلو سے وہ ٹلنے نہیں دیتے 
دل وہ ہے کہ فریاد سے لبریز ہے ہر وقت ,ہم وہ ہیں کہ کچھ منہ سے نکلنے نہیں دیتے ,دل وہ ہے کہ فریاد سے لبریز ہے ہر وقت  ہم وہ ہیں کہ کچھ منہ سے نکلنے نہیں دیتے 
گرمئ محبت میں وہ ہیں آہ سے مانع ,پنکھا نفس سرد کا جھلنے نہیں دیتے ,گرمئ محبت میں وہ ہیں آہ سے مانع  پنکھا نفس سرد کا جھلنے نہیں دیتے 
آہ جو دل سے نکالی جائے گی ,کیا سمجھتے ہو کہ خالی جائے گی ,آہ جو دل سے نکالی جائے گی  کیا سمجھتے ہو کہ خالی جائے گی 
اس نزاکت پر یہ شمشیر جفا ,آپ سے کیوں کر سنبھالی جائے گی ,اس نزاکت پر یہ شمشیر جفا  آپ سے کیوں کر سنبھالی جائے گی 
کیا غم دنیا کا ڈر مجھ رند کو ,اور اک بوتل چڑھا لی جائے گی ,کیا غم دنیا کا ڈر مجھ رند کو  اور اک بوتل چڑھا لی جائے گی 
شیخ کی دعوت میں مے کا کام کیا ,احتیاطاً کچھ منگا لی جائے گی ,شیخ کی دعوت میں مے کا کام کیا  احتیاطاً کچھ منگا لی جائے گی 
یاد ابرو میں ہے اکبرؔ محو یوں ,کب تری یہ کج خیالی جائے گی ,یاد ابرو میں ہے اکبرؔ محو یوں  کب تری یہ کج خیالی جائے گی 
چرخ سے کچھ امید تھی ہی نہیں ,آرزو میں نے کوئی کی ہی نہیں ,چرخ سے کچھ امید تھی ہی نہیں  آرزو میں نے کوئی کی ہی نہیں 
مذہبی بحث میں نے کی ہی نہیں ,فالتو عقل مجھ میں تھی ہی نہیں ,مذہبی بحث میں نے کی ہی نہیں  فالتو عقل مجھ میں تھی ہی نہیں 
چاہتا تھا بہت سی باتوں کو ,مگر افسوس اب وہ جی ہی نہیں ,چاہتا تھا بہت سی باتوں کو  مگر افسوس اب وہ جی ہی نہیں 
جرأت عرض حال کیا ہوتی ,نظر لطف اس نے کی ہی نہیں ,جرأت عرض حال کیا ہوتی  نظر لطف اس نے کی ہی نہیں 
اس مصیبت میں دل سے کیا کہتا ,کوئی ایسی مثال تھی ہی نہیں ,اس مصیبت میں دل سے کیا کہتا  کوئی ایسی مثال تھی ہی نہیں 
آپ کیا جانیں قدر یا اللہ ,جب مصیبت کوئی پڑی ہی نہیں ,آپ کیا جانیں قدر یا اللہ  جب مصیبت کوئی پڑی ہی نہیں 
شرک چھوڑا تو سب نے چھوڑ دیا ,میری کوئی سوسائٹی ہی نہیں ,شرک چھوڑا تو سب نے چھوڑ دیا  میری کوئی سوسائٹی ہی نہیں 
پوچھا اکبرؔ ہے آدمی کیسا ,ہنس کے بولے وہ آدمی ہی نہیں ,پوچھا اکبرؔ ہے آدمی کیسا  ہنس کے بولے وہ آدمی ہی نہیں 
فلسفی کو بحث کے اندر خدا ملتا نہیں ,ڈور کو سلجھا رہا ہے اور سرا ملتا نہیں ,فلسفی کو بحث کے اندر خدا ملتا نہیں  ڈور کو سلجھا رہا ہے اور سرا ملتا نہیں 
معرفت خالق کی عالم میں بہت دشوار ہے ,شہر تن میں جب کہ خود اپنا پتا ملتا نہیں ,معرفت خالق کی عالم میں بہت دشوار ہے  شہر تن میں جب کہ خود اپنا پتا ملتا نہیں 
غافلوں کے لطف کو کافی ہے دنیاوی خوشی ,عاقلوں کو بے غم عقبیٰ مزا ملتا نہیں ,غافلوں کے لطف کو کافی ہے دنیاوی خوشی  عاقلوں کو بے غم عقبیٰ مزا ملتا نہیں 
کشتئ دل کی الٰہی بحر ہستی میں ہو خیر ,ناخدا ملتے ہیں لیکن با خدا ملتا نہیں ,کشتئ دل کی الٰہی بحر ہستی میں ہو خیر  ناخدا ملتے ہیں لیکن با خدا ملتا نہیں 
غافلوں کو کیا سناؤں داستان عشق یار ,سننے والے ملتے ہیں درد آشنا ملتا نہیں ,غافلوں کو کیا سناؤں داستان عشق یار  سننے والے ملتے ہیں درد آشنا ملتا نہیں 
زندگانی کا مزا ملتا تھا جن کی بزم میں ,ان کی قبروں کا بھی اب مجھ کو پتا ملتا نہیں ,زندگانی کا مزا ملتا تھا جن کی بزم میں  ان کی قبروں کا بھی اب مجھ کو پتا ملتا نہیں 
صرف ظاہر ہو گیا سرمایۂ زیب و صفا ,کیا تعجب ہے جو باطن با صفا ملتا نہیں ,صرف ظاہر ہو گیا سرمایۂ زیب و صفا  کیا تعجب ہے جو باطن با صفا ملتا نہیں 
پختہ طبعوں پر حوادث کا نہیں ہوتا اثر ,کوہساروں میں نشان نقش پا ملتا نہیں ,پختہ طبعوں پر حوادث کا نہیں ہوتا اثر  کوہساروں میں نشان نقش پا ملتا نہیں 
شیخ صاحب برہمن سے لاکھ برتیں دوستی ,بے بھجن گائے تو مندر سے ٹکا ملتا نہیں ,شیخ صاحب برہمن سے لاکھ برتیں دوستی  بے بھجن گائے تو مندر سے ٹکا ملتا نہیں 
جس پہ دل آیا ہے وہ شیریں ادا ملتا نہیں ,زندگی ہے تلخ جینے کا مزا ملتا نہیں ,جس پہ دل آیا ہے وہ شیریں ادا ملتا نہیں  زندگی ہے تلخ جینے کا مزا ملتا نہیں 
لوگ کہتے ہیں کہ بد نامی سے بچنا چاہئے ,کہہ دو بے اس کے جوانی کا مزا ملتا نہیں ,لوگ کہتے ہیں کہ بد نامی سے بچنا چاہئے  کہہ دو بے اس کے جوانی کا مزا ملتا نہیں 
اہل ظاہر جس قدر چاہیں کریں بحث و جدال ,میں یہ سمجھا ہوں خودی میں تو خدا ملتا نہیں ,اہل ظاہر جس قدر چاہیں کریں بحث و جدال  میں یہ سمجھا ہوں خودی میں تو خدا ملتا نہیں 
چل بسے وہ دن کہ یاروں سے بھری تھی انجمن ,ہائے افسوس آج صورت آشنا ملتا نہیں ,چل بسے وہ دن کہ یاروں سے بھری تھی انجمن  ہائے افسوس آج صورت آشنا ملتا نہیں 
منزل عشق و توکل منزل اعزاز ہے ,شاہ سب بستے ہیں یاں کوئی گدا ملتا نہیں ,منزل عشق و توکل منزل اعزاز ہے  شاہ سب بستے ہیں یاں کوئی گدا ملتا نہیں 
بار تکلیفوں کا مجھ پر بار احساں سے ہے سہل ,شکر کی جا ہے اگر حاجت روا ملتا نہیں ,بار تکلیفوں کا مجھ پر بار احساں سے ہے سہل  شکر کی جا ہے اگر حاجت روا ملتا نہیں 
چاندنی راتیں بہار اپنی دکھاتی ہیں تو کیا ,بے ترے مجھ کو تو لطف اے مہ لقا ملتا نہیں ,چاندنی راتیں بہار اپنی دکھاتی ہیں تو کیا  بے ترے مجھ کو تو لطف اے مہ لقا ملتا نہیں 
معنیٔ دل کا کرے اظہار اکبرؔ کس طرح ,لفظ موزوں بہر کشف مدعا ملتا نہیں ,معنیٔ دل کا کرے اظہار اکبرؔ کس طرح  لفظ موزوں بہر کشف مدعا ملتا نہیں 
حیا سے سر جھکا لینا ادا سے مسکرا دینا ,حسینوں کو بھی کتنا سہل ہے بجلی گرا دینا ,حیا سے سر جھکا لینا ادا سے مسکرا دینا  حسینوں کو بھی کتنا سہل ہے بجلی گرا دینا 
یہ طرز احسان کرنے کا تمہیں کو زیب دیتا ہے ,مرض میں مبتلا کر کے مریضوں کو دوا دینا ,یہ طرز احسان کرنے کا تمہیں کو زیب دیتا ہے  مرض میں مبتلا کر کے مریضوں کو دوا دینا 
بلائیں لیتے ہیں ان کی ہم ان پر جان دیتے ہیں ,یہ سودا دید کے قابل ہے کیا لینا ہے کیا دینا ,بلائیں لیتے ہیں ان کی ہم ان پر جان دیتے ہیں  یہ سودا دید کے قابل ہے کیا لینا ہے کیا دینا 
خدا کی یاد میں محویت دل بادشاہی ہے ,مگر آساں نہیں ہے ساری دنیا کو بھلا دینا ,خدا کی یاد میں محویت دل بادشاہی ہے  مگر آساں نہیں ہے ساری دنیا کو بھلا دینا 
گلے لگائیں کریں تم کو پیار عید کے دن ,ادھر تو آؤ مرے گلعذار عید کے دن ,گلے لگائیں کریں تم کو پیار عید کے دن  ادھر تو آؤ مرے گلعذار عید کے دن 
غضب کا حسن ہے آرائشیں قیامت کی ,عیاں ہے قدرت پروردگار عید کے دن ,غضب کا حسن ہے آرائشیں قیامت کی  عیاں ہے قدرت پروردگار عید کے دن 
سنبھل سکی نہ طبیعت کسی طرح میری ,رہا نہ دل پہ مجھے اختیار عید کے دن ,سنبھل سکی نہ طبیعت کسی طرح میری  رہا نہ دل پہ مجھے اختیار عید کے دن 
وہ سال بھر سے کدورت بھری جو تھی دل میں ,وہ دور ہو گئی بس ایک بار عید کے دن ,وہ سال بھر سے کدورت بھری جو تھی دل میں  وہ دور ہو گئی بس ایک بار عید کے دن 
لگا لیا انہیں سینہ سے جوش الفت میں ,غرض کہ آ ہی گیا مجھ کو پیار عید کے دن ,لگا لیا انہیں سینہ سے جوش الفت میں  غرض کہ آ ہی گیا مجھ کو پیار عید کے دن 
کہیں ہے نغمۂ بلبل کہیں ہے خندۂ گل ,عیاں ہے جوش شباب بہار عید کے دن ,کہیں ہے نغمۂ بلبل کہیں ہے خندۂ گل  عیاں ہے جوش شباب بہار عید کے دن 
سویاں دودھ شکر میوہ سب مہیا ہے ,مگر یہ سب ہے مجھے ناگوار عید کے دن ,سویاں دودھ شکر میوہ سب مہیا ہے  مگر یہ سب ہے مجھے ناگوار عید کے دن 
ملے اگر لب شیریں کا تیرے اک بوسہ ,تو لطف ہو مجھے البتہ یار عید کے دن ,ملے اگر لب شیریں کا تیرے اک بوسہ  تو لطف ہو مجھے البتہ یار عید کے دن 
حال دل میں سنا نہیں سکتا ,لفظ معنیٰ کو پا نہیں سکتا ,حال دل میں سنا نہیں سکتا  لفظ معنیٰ کو پا نہیں سکتا 
عشق نازک مزاج ہے بے حد ,عقل کا بوجھ اٹھا نہیں سکتا ,عشق نازک مزاج ہے بے حد  عقل کا بوجھ اٹھا نہیں سکتا 
ہوش عارف کی ہے یہی پہچان ,کہ خودی میں سما نہیں سکتا ,ہوش عارف کی ہے یہی پہچان  کہ خودی میں سما نہیں سکتا 
پونچھ سکتا ہے ہم نشیں آنسو ,داغ دل کو مٹا نہیں سکتا ,پونچھ سکتا ہے ہم نشیں آنسو  داغ دل کو مٹا نہیں سکتا 
مجھ کو حیرت ہے اس کی قدرت پر ,الم اس کو گھٹا نہیں سکتا ,مجھ کو حیرت ہے اس کی قدرت پر  الم اس کو گھٹا نہیں سکتا 
اک بوسہ دیجئے مرا ایمان لیجئے ,گو بت ہیں آپ بہر خدا مان لیجئے ,اک بوسہ دیجئے مرا ایمان لیجئے  گو بت ہیں آپ بہر خدا مان لیجئے 
دل لے کے کہتے ہیں تری خاطر سے لے لیا ,الٹا مجھی پہ رکھتے ہیں احسان لیجئے ,دل لے کے کہتے ہیں تری خاطر سے لے لیا  الٹا مجھی پہ رکھتے ہیں احسان لیجئے 
غیروں کو اپنے ہاتھ سے ہنس کر کھلا دیا ,مجھ سے کبیدہ ہو کے کہا پان لیجئے ,غیروں کو اپنے ہاتھ سے ہنس کر کھلا دیا  مجھ سے کبیدہ ہو کے کہا پان لیجئے 
مرنا قبول ہے مگر الفت نہیں قبول ,دل تو نہ دوں گا آپ کو میں جان لیجئے ,مرنا قبول ہے مگر الفت نہیں قبول  دل تو نہ دوں گا آپ کو میں جان لیجئے 
حاضر ہوا کروں گا میں اکثر حضور میں ,آج اچھی طرح سے مجھے پہچان لیجئے ,حاضر ہوا کروں گا میں اکثر حضور میں  آج اچھی طرح سے مجھے پہچان لیجئے 
بہت رہا ہے کبھی لطف یار ہم پر بھی ,گزر چکی ہے یہ فصل بہار ہم پر بھی ,بہت رہا ہے کبھی لطف یار ہم پر بھی  گزر چکی ہے یہ فصل بہار ہم پر بھی 
عروس دہر کو آیا تھا پیار ہم پر بھی ,یہ بیسوا تھی کسی شب نثار ہم پر بھی ,عروس دہر کو آیا تھا پیار ہم پر بھی  یہ بیسوا تھی کسی شب نثار ہم پر بھی 
بٹھا چکا ہے زمانہ ہمیں بھی مسند پر ,ہوا کیے ہیں جواہر نثار ہم پر بھی ,بٹھا چکا ہے زمانہ ہمیں بھی مسند پر  ہوا کیے ہیں جواہر نثار ہم پر بھی 
عدو کو بھی جو بنایا ہے تم نے محرم راز ,تو فخر کیا جو ہوا اعتبار ہم پر بھی ,عدو کو بھی جو بنایا ہے تم نے محرم راز  تو فخر کیا جو ہوا اعتبار ہم پر بھی 
خطا کسی کی ہو لیکن کھلی جو ان کی زباں ,تو ہو ہی جاتے ہیں دو ایک وار ہم پر بھی ,خطا کسی کی ہو لیکن کھلی جو ان کی زباں  تو ہو ہی جاتے ہیں دو ایک وار ہم پر بھی 
ہم ایسے رند مگر یہ زمانہ ہے وہ غضب ,کہ ڈال ہی دیا دنیا کا بار ہم پر بھی ,ہم ایسے رند مگر یہ زمانہ ہے وہ غضب  کہ ڈال ہی دیا دنیا کا بار ہم پر بھی 
ہمیں بھی آتش الفت جلا چکی اکبرؔ ,حرام ہو گئی دوزخ کی نار ہم پر بھی ,ہمیں بھی آتش الفت جلا چکی اکبرؔ  حرام ہو گئی دوزخ کی نار ہم پر بھی 
سانس لیتے ہوئے بھی ڈرتا ہوں ,یہ نہ سمجھیں کہ آہ کرتا ہوں ,سانس لیتے ہوئے بھی ڈرتا ہوں  یہ نہ سمجھیں کہ آہ کرتا ہوں 
بحر ہستی میں ہوں مثال حباب ,مٹ ہی جاتا ہوں جب ابھرتا ہوں ,بحر ہستی میں ہوں مثال حباب  مٹ ہی جاتا ہوں جب ابھرتا ہوں 
اتنی آزادی بھی غنیمت ہے ,سانس لیتا ہوں بات کرتا ہوں ,اتنی آزادی بھی غنیمت ہے  سانس لیتا ہوں بات کرتا ہوں 
شیخ صاحب خدا سے ڈرتے ہوں ,میں تو انگریزوں ہی سے ڈرتا ہوں ,شیخ صاحب خدا سے ڈرتے ہوں  میں تو انگریزوں ہی سے ڈرتا ہوں 
آپ کیا پوچھتے ہیں میرا مزاج ,شکر اللہ کا ہے مرتا ہوں ,آپ کیا پوچھتے ہیں میرا مزاج  شکر اللہ کا ہے مرتا ہوں 
یہ بڑا عیب مجھ میں ہے اکبرؔ ,دل میں جو آئے کہہ گزرتا ہوں ,یہ بڑا عیب مجھ میں ہے اکبرؔ  دل میں جو آئے کہہ گزرتا ہوں 
وہ ہوا نہ رہی وہ چمن نہ رہا وہ گلی نہ رہی وہ حسیں نہ رہے ,وہ فلک نہ رہا وہ سماں نہ رہا وہ مکاں نہ رہے وہ مکیں نہ رہے ,وہ ہوا نہ رہی وہ چمن نہ رہا وہ گلی نہ رہی وہ حسیں نہ رہے  وہ فلک نہ رہا وہ سماں نہ رہا وہ مکاں نہ رہے وہ مکیں نہ رہے 
وہ گلوں میں گلوں کی سی بو نہ رہی وہ عزیزوں میں لطف کی خو نہ رہی ,وہ حسینوں میں رنگ وفا نہ رہا کہیں اور کی کیا وہ ہمیں نہ رہے ,وہ گلوں میں گلوں کی سی بو نہ رہی وہ عزیزوں میں لطف کی خو نہ رہی  وہ حسینوں میں رنگ وفا نہ رہا کہیں اور کی کیا وہ ہمیں نہ رہے 
نہ وہ آن رہی نہ امنگ رہی نہ وہ رندی و زہد کی جنگ رہی ,سوئے قبلہ نگاہوں کے رخ نہ رہے اور در پہ نقش جبیں نہ رہے ,نہ وہ آن رہی نہ امنگ رہی نہ وہ رندی و زہد کی جنگ رہی  سوئے قبلہ نگاہوں کے رخ نہ رہے اور در پہ نقش جبیں نہ رہے 
نہ وہ جام رہے نہ وہ مست رہے نہ فدائی عہد الست رہے ,وہ طریقۂ کار جہاں نہ رہا وہ مشاغل رونق دیں نہ رہے ,نہ وہ جام رہے نہ وہ مست رہے نہ فدائی عہد الست رہے  وہ طریقۂ کار جہاں نہ رہا وہ مشاغل رونق دیں نہ رہے 
ہمیں لاکھ زمانہ لبھائے تو کیا نئے رنگ جو چرخ دکھائے تو کیا ,یہ محال ہے اہل وفا کے لیے غم ملت و الفت دیں نہ رہے ,ہمیں لاکھ زمانہ لبھائے تو کیا نئے رنگ جو چرخ دکھائے تو کیا  یہ محال ہے اہل وفا کے لیے غم ملت و الفت دیں نہ رہے 
ترے کوچۂ زلف میں دل ہے مرا اب اسے میں سمجھتا ہوں دام بلا ,یہ عجیب ستم ہے عجیب جفا کہ یہاں نہ رہے تو کہیں نہ رہے ,ترے کوچۂ زلف میں دل ہے مرا اب اسے میں سمجھتا ہوں دام بلا  یہ عجیب ستم ہے عجیب جفا کہ یہاں نہ رہے تو کہیں نہ رہے 
یہ تمہارے ہی دم سے ہے بزم طرب ابھی جاؤ نہ تم نہ کرو یہ غضب ,کوئی بیٹھ کے لطف اٹھائے گا کیا کہ جو رونق بزم تمہیں نہ رہے ,یہ تمہارے ہی دم سے ہے بزم طرب ابھی جاؤ نہ تم نہ کرو یہ غضب  کوئی بیٹھ کے لطف اٹھائے گا کیا کہ جو رونق بزم تمہیں نہ رہے 
جو تھیں چشم فلک کی بھی نور نظر وہی جن پہ نثار تھے شمس و قمر ,سو اب ایسی مٹی ہیں وہ انجمنیں کہ نشان بھی ان کے کہیں نہ رہے ,جو تھیں چشم فلک کی بھی نور نظر وہی جن پہ نثار تھے شمس و قمر  سو اب ایسی مٹی ہیں وہ انجمنیں کہ نشان بھی ان کے کہیں نہ رہے 
وہی صورتیں رہ گئیں پیش نظر جو زمانہ کو پھیریں ادھر سے ادھر ,مگر ایسے جمال جہاں آرا جو تھے رونق روئے زمیں نہ رہے ,وہی صورتیں رہ گئیں پیش نظر جو زمانہ کو پھیریں ادھر سے ادھر  مگر ایسے جمال جہاں آرا جو تھے رونق روئے زمیں نہ رہے 
غم و رنج میں اکبرؔ اگر ہے گھرا تو سمجھ لے کہ رنج کو بھی ہے فنا ,کسی شے کو نہیں ہے جہاں میں بقا وہ زیادہ ملول و حزیں نہ رہے ,غم و رنج میں اکبرؔ اگر ہے گھرا تو سمجھ لے کہ رنج کو بھی ہے فنا  کسی شے کو نہیں ہے جہاں میں بقا وہ زیادہ ملول و حزیں نہ رہے 
ہوں میں پروانہ مگر شمع تو ہو رات تو ہو ,جان دینے کو ہوں موجود کوئی بات تو ہو ,ہوں میں پروانہ مگر شمع تو ہو رات تو ہو  جان دینے کو ہوں موجود کوئی بات تو ہو 
دل بھی حاضر سر تسلیم بھی خم کو موجود ,کوئی مرکز ہو کوئی قبلۂ حاجات تو ہو ,دل بھی حاضر سر تسلیم بھی خم کو موجود  کوئی مرکز ہو کوئی قبلۂ حاجات تو ہو 
دل تو بے چین ہے اظہار ارادت کے لیے ,کسی جانب سے کچھ اظہار کرامات تو ہو ,دل تو بے چین ہے اظہار ارادت کے لیے  کسی جانب سے کچھ اظہار کرامات تو ہو 
دل کشا بادۂ صافی کا کسے ذوق نہیں ,باطن افروز کوئی پیر خرابات تو ہو ,دل کشا بادۂ صافی کا کسے ذوق نہیں  باطن افروز کوئی پیر خرابات تو ہو 
گفتنی ہے دل پر درد کا قصہ لیکن ,کس سے کہیے کوئی مستفسر حالات تو ہو ,گفتنی ہے دل پر درد کا قصہ لیکن  کس سے کہیے کوئی مستفسر حالات تو ہو 
داستان غم دل کون کہے کون سنے ,بزم میں موقع اظہار خیالات تو ہو ,داستان غم دل کون کہے کون سنے  بزم میں موقع اظہار خیالات تو ہو 
وعدے بھی یاد دلاتے ہیں گلے بھی ہیں بہت ,وہ دکھائی بھی تو دیں ان سے ملاقات تو ہو ,وعدے بھی یاد دلاتے ہیں گلے بھی ہیں بہت  وہ دکھائی بھی تو دیں ان سے ملاقات تو ہو 
کوئی واعظ نہیں فطرت سے بلاغت میں سوا ,مگر انسان میں کچھ فہم اشارات تو ہو ,کوئی واعظ نہیں فطرت سے بلاغت میں سوا  مگر انسان میں کچھ فہم اشارات تو ہو 
اپنے پہلو سے وہ غیروں کو اٹھا ہی نہ سکے ,ان کو ہم قصۂ غم اپنا سنا ہی نہ سکے ,اپنے پہلو سے وہ غیروں کو اٹھا ہی نہ سکے  ان کو ہم قصۂ غم اپنا سنا ہی نہ سکے 
ذہن میرا وہ قیامت کہ دو عالم پہ محیط ,آپ ایسے کہ مرے ذہن میں آ ہی نہ سکے ,ذہن میرا وہ قیامت کہ دو عالم پہ محیط  آپ ایسے کہ مرے ذہن میں آ ہی نہ سکے 
دیکھ لیتے جو انہیں تو مجھے رکھتے معذور ,شیخ صاحب مگر اس بزم میں جا ہی نہ سکے ,دیکھ لیتے جو انہیں تو مجھے رکھتے معذور  شیخ صاحب مگر اس بزم میں جا ہی نہ سکے 
عقل مہنگی ہے بہت عشق خلاف تہذیب ,دل کو اس عہد میں ہم کام میں لا ہی نہ سکے ,عقل مہنگی ہے بہت عشق خلاف تہذیب  دل کو اس عہد میں ہم کام میں لا ہی نہ سکے 
ہم تو خود چاہتے تھے چین سے بیٹھیں کوئی دم ,آپ کی یاد مگر دل سے بھلا ہی نہ سکے ,ہم تو خود چاہتے تھے چین سے بیٹھیں کوئی دم  آپ کی یاد مگر دل سے بھلا ہی نہ سکے 
عشق کامل ہے اسی کا کہ پتنگوں کی طرح ,تاب نظارۂ معشوق کی لا ہی نہ سکے ,عشق کامل ہے اسی کا کہ پتنگوں کی طرح  تاب نظارۂ معشوق کی لا ہی نہ سکے 
دام ہستی کی بھی ترکیب عجب رکھی ہے ,جو پھنسے اس میں وہ پھر جان بچا ہی نہ سکے ,دام ہستی کی بھی ترکیب عجب رکھی ہے  جو پھنسے اس میں وہ پھر جان بچا ہی نہ سکے 
مظہر جلوۂ جاناں ہے ہر اک شے اکبرؔ ,بے ادب آنکھ کسی سمت اٹھا ہی نہ سکے ,مظہر جلوۂ جاناں ہے ہر اک شے اکبرؔ  بے ادب آنکھ کسی سمت اٹھا ہی نہ سکے 
ایسی منطق سے تو دیوانگی بہتر اکبرؔ ,کہ جو خالق کی طرف دل کو جھکا ہی نہ سکے ,ایسی منطق سے تو دیوانگی بہتر اکبرؔ  کہ جو خالق کی طرف دل کو جھکا ہی نہ سکے 
جہاں میں حال مرا اس قدر زبون ہوا ,کہ مجھ کو دیکھ کے بسمل کو بھی سکون ہوا ,جہاں میں حال مرا اس قدر زبون ہوا  کہ مجھ کو دیکھ کے بسمل کو بھی سکون ہوا 
